#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
2.38523           0.0434184            0.508008            0.340925           0.0434184            0.508008            0.340925
2.39521           0.0417427            0.499588            0.354483           0.0417428            0.499588            0.354483
2.40519           0.0401223            0.491115            0.367927           0.0401223            0.491115            0.367927
2.41517           0.0385558            0.482596            0.381232           0.0385558            0.482596            0.381232
2.42515           0.0370418            0.474040            0.394374           0.0370418            0.474040            0.394374
2.43513           0.0355790            0.465456            0.407330           0.0355790            0.465456            0.407330
2.44511           0.0341660            0.456852            0.420078           0.0341659            0.456852            0.420078
2.45509           0.0328014            0.448237            0.432595           0.0328014            0.448237            0.432595
2.46507           0.0314841            0.439617            0.444862           0.0314841            0.439617            0.444862
2.47505           0.0302126            0.431001            0.456858           0.0302126            0.431001            0.456858
2.48503           0.0289858            0.422397            0.468564           0.0289858            0.422397            0.468564
2.49501           0.0278024            0.413810            0.479963           0.0278023            0.413810            0.479963
2.50499           0.0266611            0.405248            0.491036           0.0266611            0.405248            0.491036
2.51497           0.0255607            0.396718            0.501769           0.0255607            0.396718            0.501769
2.52495           0.0245001            0.388225            0.512145           0.0245001            0.388225            0.512145
2.53493           0.0234782            0.379777            0.522151           0.0234782            0.379777            0.522151
2.54491           0.0224936            0.371379            0.531774           0.0224936            0.371379            0.531774
2.55489           0.0215454            0.363037            0.541001           0.0215454            0.363037            0.541001
2.56487           0.0206324            0.354755            0.549822           0.0206325            0.354755            0.549822
2.57485           0.0197536            0.346540            0.558225           0.0197536            0.346540            0.558225
2.58483           0.0189079            0.338395            0.566203           0.0189079            0.338395            0.566203
2.59481           0.0180942            0.330327            0.573748           0.0180942            0.330327            0.573748
2.60479           0.0173116            0.322338            0.580851           0.0173116            0.322338            0.580851
2.61477           0.0165591            0.314433            0.587508           0.0165591            0.314433            0.587508
2.62475           0.0158357            0.306617            0.593712           0.0158356            0.306617            0.593712
2.63473           0.0151404            0.298892            0.599461           0.0151404            0.298892            0.599461
2.64471           0.0144723            0.291262            0.604750           0.0144723            0.291262            0.604750
2.65469           0.0138306            0.283731            0.609578           0.0138306            0.283731            0.609578
2.66467           0.0132143            0.276301            0.613944           0.0132143            0.276301            0.613944
2.67465           0.0126226            0.268975            0.617847           0.0126226            0.268975            0.617847
2.68463           0.0120547            0.261756            0.621287           0.0120547            0.261756            0.621287
2.69461           0.0115097            0.254645            0.624266           0.0115097            0.254645            0.624266
2.70459           0.0109868            0.247645            0.626787           0.0109868            0.247645            0.626787
2.71457           0.0104854            0.240759            0.628851           0.0104854            0.240759            0.628851
2.72455           0.0100045            0.233987            0.630464           0.0100045            0.233987            0.630464
2.73453          0.00954356            0.227331            0.631628          0.00954356            0.227331            0.631628
2.74451          0.00910180            0.220792            0.632351          0.00910179            0.220792            0.632351
2.75449          0.00867852            0.214372            0.632637          0.00867852            0.214372            0.632637
2.76447          0.00827306            0.208071            0.632492          0.00827306            0.208071            0.632492
2.77445          0.00788477            0.201890            0.631925          0.00788477            0.201890            0.631925
2.78443          0.00751302            0.195830            0.630943          0.00751302            0.195830            0.630943
2.79441          0.00715718            0.189892            0.629554          0.00715718            0.189892            0.629554
2.80439          0.00681666            0.184075            0.627767          0.00681666            0.184075            0.627767
2.81437          0.00649089            0.178380            0.625590          0.00649088            0.178380            0.625590
2.82435          0.00617929            0.172806            0.623035          0.00617929            0.172806            0.623035
2.83433          0.00588134            0.167354            0.620110          0.00588134            0.167354            0.620110
2.84431          0.00559650            0.162024            0.616827          0.00559650            0.162024            0.616827
2.85429          0.00532427            0.156814            0.613196          0.00532427            0.156814            0.613196
2.86427          0.00506414            0.151724            0.609228          0.00506414            0.151724            0.609228
2.87425          0.00481565            0.146755            0.604936          0.00481565            0.146755            0.604935
2.88423          0.00457832            0.141904            0.600329          0.00457833            0.141904            0.600329
2.89421          0.00435173            0.137172            0.595421          0.00435173            0.137172            0.595421
2.90419          0.00413542            0.132556            0.590223          0.00413542            0.132556            0.590223
2.91417          0.00392899            0.128057            0.584747          0.00392899            0.128057            0.584747
2.92415          0.00373204            0.123673            0.579007          0.00373203            0.123673            0.579007
2.93413          0.00354417            0.119403            0.573013          0.00354416            0.119403            0.573013
2.94411          0.00336500            0.115246            0.566780          0.00336500            0.115246            0.566780
2.95409          0.00319419            0.111200            0.560318          0.00319419            0.111200            0.560318
2.96407          0.00303137            0.107263            0.553642          0.00303137            0.107263            0.553642
2.97405          0.00287622            0.103435            0.546763          0.00287621            0.103435            0.546763
2.98403          0.00272840           0.0997143            0.539693          0.00272840           0.0997144            0.539693
2.99401          0.00258760           0.0960986            0.532446          0.00258760           0.0960986            0.532446
3.00399          0.00245353           0.0925866            0.525033          0.00245353           0.0925865            0.525033
3.01397          0.00232589           0.0891765            0.517468          0.00232589           0.0891765            0.517468
3.02395          0.00220440           0.0858668            0.509761          0.00220440           0.0858668            0.509761
3.03393          0.00208879           0.0826556            0.501925          0.00208879           0.0826556            0.501925
3.04391          0.00197881           0.0795412            0.493971          0.00197882           0.0795412            0.493971
3.05389          0.00187421           0.0765219            0.485912          0.00187421           0.0765219            0.485912
3.06387          0.00177475           0.0735957            0.477758          0.00177475           0.0735957            0.477758
3.07385          0.00168019           0.0707609            0.469522          0.00168019           0.0707609            0.469522
3.08383          0.00159032           0.0680156            0.461213          0.00159033           0.0680156            0.461213
3.09381          0.00150493           0.0653580            0.452842          0.00150493           0.0653580            0.452842
3.10379          0.00142381           0.0627861            0.444421          0.00142381           0.0627861            0.444421
3.11377          0.00134677           0.0602982            0.435959          0.00134677           0.0602982            0.435959
3.12375          0.00127361           0.0578922            0.427466          0.00127361           0.0578922            0.427466
3.13373          0.00120416           0.0555664            0.418952          0.00120416           0.0555664            0.418952
3.14371          0.00113825           0.0533189            0.410426          0.00113825           0.0533188            0.410426
3.15369          0.00107572           0.0511477            0.401897          0.00107572           0.0511477            0.401897
3.16367          0.00101639           0.0490510            0.393374          0.00101639           0.0490510            0.393374
3.17365         0.000960129           0.0470270            0.384866         0.000960128           0.0470270            0.384866
3.18363         0.000906782           0.0450739            0.376381         0.000906783           0.0450739            0.376381
3.19361         0.000856211           0.0431897            0.367926         0.000856212           0.0431897            0.367926
3.20359         0.000808284           0.0413727            0.359509         0.000808285           0.0413727            0.359509
3.21357         0.000762873           0.0396210            0.351138         0.000762872           0.0396210            0.351138
3.22355         0.000719856           0.0379329            0.342818         0.000719855           0.0379329            0.342818
3.23353         0.000679116           0.0363066            0.334557         0.000679116           0.0363066            0.334557
3.24351         0.000640542           0.0347404            0.326362         0.000640543           0.0347404            0.326362
3.25349         0.000604027           0.0332326            0.318237         0.000604027           0.0332326            0.318237
3.26347         0.000569470           0.0317814            0.310188         0.000569471           0.0317814            0.310188
3.27345         0.000536772           0.0303852            0.302221         0.000536772           0.0303852            0.302221
3.28343         0.000505842           0.0290423            0.294341         0.000505842           0.0290424            0.294341
3.29341         0.000476591           0.0277512            0.286553         0.000476590           0.0277512            0.286553
3.30339         0.000448933           0.0265102            0.278860         0.000448934           0.0265102            0.278860
3.31337         0.000422789           0.0253178            0.271267         0.000422789           0.0253178            0.271267
3.32335         0.000398080           0.0241724            0.263778         0.000398080           0.0241724            0.263778
3.33333         0.000374734           0.0230726            0.256396         0.000374734           0.0230726            0.256396
3.34331         0.000352681           0.0220168            0.249124         0.000352681           0.0220168            0.249124
3.35329         0.000331853           0.0210037            0.241966         0.000331854           0.0210037            0.241965
3.36327         0.000312188           0.0200317            0.234923         0.000312188           0.0200317            0.234923
3.37325         0.000293624           0.0190996            0.227999         0.000293623           0.0190996            0.227999
3.38323         0.000276105           0.0182059            0.221196         0.000276104           0.0182059            0.221195
3.39321         0.000259574           0.0173494            0.214514         0.000259575           0.0173494            0.214514
3.40319         0.000243980           0.0165287            0.207957         0.000243981           0.0165287            0.207957
3.41317         0.000229274           0.0157427            0.201526         0.000229274           0.0157427            0.201526
3.42315         0.000215407           0.0149900            0.195221         0.000215407           0.0149900            0.195221
3.43313         0.000202336           0.0142695            0.189044         0.000202336           0.0142695            0.189044
3.44311         0.000190016           0.0135800            0.182995         0.000190016           0.0135800            0.182995
3.45309         0.000178408           0.0129204            0.177076         0.000178408           0.0129204            0.177076
3.46307         0.000167473           0.0122896            0.171285         0.000167473           0.0122896            0.171285
3.47305         0.000157174           0.0116865            0.165625         0.000157175           0.0116865            0.165625
3.48303         0.000147477           0.0111100            0.160093         0.000147477           0.0111100            0.160093
3.49301         0.000138348           0.0105592            0.154692         0.000138348           0.0105592            0.154692
3.50299         0.000129757           0.0100330            0.149419         0.000129756           0.0100330            0.149419
3.51297         0.000121672          0.00953060            0.144275         0.000121672          0.00953061            0.144275
3.52295         0.000114067          0.00905095            0.139259         0.000114066          0.00905095            0.139259
3.53293         0.000106914          0.00859319            0.134370         0.000106913          0.00859319            0.134370
3.54291         0.000100188          0.00815644            0.129607         0.000100188          0.00815644            0.129607
3.55289         9.38651E-05          0.00773987            0.124970         9.38649E-05          0.00773987            0.124970
3.56287         8.79223E-05          0.00734266            0.120457         8.79220E-05          0.00734266            0.120457
3.57285         8.23380E-05          0.00696402            0.116067         8.23382E-05          0.00696402            0.116067
3.58283         7.70918E-05          0.00660319            0.111798         7.70921E-05          0.00660319            0.111798
3.59281         7.21644E-05          0.00625943            0.107650         7.21647E-05          0.00625943            0.107650
3.60279         6.75374E-05          0.00593203            0.103620         6.75372E-05          0.00593203            0.103620
3.61277         6.31935E-05          0.00562030           0.0997066         6.31934E-05          0.00562030           0.0997065
3.62275         5.91164E-05          0.00532357           0.0959088         5.91161E-05          0.00532357           0.0959088
3.63273         5.52904E-05          0.00504121           0.0922246         5.52901E-05          0.00504121           0.0922246
3.64271         5.17009E-05          0.00477260           0.0886522         5.17008E-05          0.00477260           0.0886522
3.65269         4.83341E-05          0.00451714           0.0851895         4.83339E-05          0.00451713           0.0851895
3.66267         4.51769E-05          0.00427425           0.0818349         4.51767E-05          0.00427425           0.0818349
